FY,agency_code,CFIS/ORG Code,employee_count
2023-2024,034,5254,4
2023-2024,036,3460,9
2023-2024,038,5254,8
2023-2024,040,7870,243
2023-2024,042,5225,1458
2023-2024,045,5420,44
2023-2024,047,5420,48
2023-2024,048,5388,948
2023-2024,049,5254,8
2023-2024,051,840,1466
2023-2024,052,5420,16
2023-2024,054,5300,1208
2023-2024,055,5254,9
2023-2024,056,5340,1349
2023-2024,057,5254,6
2023-2024,058,5420,42
2023-2024,061,5260,1832
2023-2024,062,5254,22
2023-2024,063,5420,295
2023-2024,064,5320,166
2023-2024,065,5250,4572
2023-2024,068,5290,2
2023-2024,069,5254,6
2023-2024,071,5380,978
2023-2024,072,5254,6
2023-2024,073,5420,63
2023-2024,074,5420,19
2023-2024,075,5420,54
2023-2024,076,5330,2056
2023-2024,077,5254,4
2023-2024,079,5350,1138
2023-2024,080,5310,1463
2023-2024,081,5420,43
2023-2024,082,5254,5
2023-2024,083,5225,153
2023-2024,084,5358,1992
2023-2024,085,5254,9
2023-2024,086,5320,1121
2023-2024,087,5420,20
2023-2024,088,5254,4
2023-2024,091,5225,342
2023-2024,095,5390,1626
2023-2024,096,5420,14
2023-2024,097,5254,9
2023-2024,099,5400,1294
2023-2024,101,5360,1214
2023-2024,103,5254,10
2023-2024,104,5420,27
2023-2024,106,5370,1
2023-2024,110,5460,1
2023-2024,128,5460,1
2023-2024,129,5225,1
2023-2024,133,5460,1
2023-2024,135,5460,2
2023-2024,140,5225,1959
2023-2024,143,5460,1
2023-2024,148,280,24
2023-2024,150,250,138
2023-2024,151,250,101
2023-2024,152,250,229
2023-2024,153,250,83
2023-2024,155,250,8
2023-2024,156,250,824
2023-2024,157,250,68
2023-2024,158,250,192
2023-2024,159,250,80
2023-2024,160,250,51
2023-2024,162,6047,59
2023-2024,163,690,1520
2023-2024,174,6100,1511
2023-2024,175,6120,171
2023-2024,176,6255,3
2023-2024,177,5420,10
2023-2024,178,5362,1167
2023-2024,179,5420,16
2023-2024,180,5363,1558
2023-2024,181,5254,7
2023-2024,182,5364,1417
2023-2024,183,5254,5
2023-2024,184,6100,114
2023-2024,188,5225,1
2023-2024,189,5420,8
2023-2024,190,5225,1458
2023-2024,191,5254,5
2023-2024,192,6360,189
2023-2024,193,6100,32
2023-2024,194,5460,3
2023-2024,199,6100,29
2023-2024,202,6100,34
2023-2024,204,6100,333
2023-2024,205,6100,361
2023-2024,270,6980,149
2023-2024,279,7100,382
2023-2024,280,7100,8170
2023-2024,281,7100,102
2023-2024,283,7120,101
