FY,CFIS/ORG Code,total_hours,weighted_avg_hourly_rate
2023-2024,2320,237770.0,50.11
2023-2024,2600,27937.75,85.02
2023-2024,2660,17253961.75,80.21
2023-2024,2665,275900.5,74.56
2023-2024,2670,3314.25,51.94
2023-2024,2720,10982659.75,69.81
2023-2024,2740,3950659.5,198.34
2023-2024,3100,75384.0,38.67
2023-2024,3125,22240.25,150.91
2023-2024,3340,245292.75,38.79
2023-2024,3360,504094.0,59.18
2023-2024,3460,6425.25,456.92
2023-2024,3480,435131.0,72.94
2023-2024,3540,2702819.75,49.33
2023-2024,3560,126384.0,59.79
2023-2024,3600,2353336.5,103.9
2023-2024,3640,27876.75,54.64
2023-2024,3720,95447.75,112.85
2023-2024,3760,28411.25,50.25
2023-2024,3780,5945.0,46.26
2023-2024,3790,2908705.0,311.49
2023-2024,3810,7529.5,60.08
2023-2024,3820,22334.75,54.39
2023-2024,3825,3031.0,48.85
2023-2024,3830,2932.25,42.92
2023-2024,3835,2975.0,47.59
2023-2024,3840,1744.25,68.55
2023-2024,3845,1930.75,56.88
2023-2024,3850,1071.75,43.51
2023-2024,3855,15565.5,276.17
2023-2024,3875,4214.0,53.54
2023-2024,3885,41912.25,61.76
2023-2024,3900,1324850.0,110.07
2023-2024,3930,279526.25,58.99
2023-2024,3940,1419743.25,69.72
2023-2024,3960,731024.0,58.22
2023-2024,3970,533339.75,62.71
2023-2024,3980,77321.5,60.36
2023-2024,4100,39726.25,46.93
2023-2024,4120,51438.5,48.08
2023-2024,4140,372935.25,63.29
2023-2024,4150,363012.75,56.31
2023-2024,4170,121763.5,59.16
2023-2024,4180,2491.75,44.59
2023-2024,4185,71.0,507.41
2023-2024,4250,26630.25,53.16
2023-2024,4265,2699894.25,52.88
2023-2024,4300,1261337.25,70.22
2023-2024,4440,4345758.0,174.23
2023-2024,4540,604231.5,109.24
2023-2024,4550,35.0,18.24
2023-2024,4560,25188.5,54.7
2023-2024,4700,72861.0,64.36
2023-2024,5160,1118334.0,135.99
2023-2024,5170,1120.0,47.33
2023-2024,5175,472033.0,53.53
2023-2024,5180,2844295.75,55.15
2023-2024,5225,3035393.25,60.11
2023-2024,5227,74383.75,58.97
2023-2024,5250,3987154.25,65.19
2023-2024,5254,97348.75,33.39
2023-2024,5260,2094540.25,61.34
2023-2024,5290,40.25,39.2
2023-2024,5291,538412.25,74.07
2023-2024,5292,858508.25,54.83
2023-2024,5295,651239.25,56.81
2023-2024,5300,580396.75,57.92
2023-2024,5310,1036598.5,58.14
2023-2024,5320,705976.75,67.03
2023-2024,5330,1004382.75,63.29
2023-2024,5335,697902.0,54.66
2023-2024,5340,734978.0,56.04
2023-2024,5341,689130.75,53.33
2023-2024,5342,616208.0,54.23
2023-2024,5344,745625.0,55.76
2023-2024,5349,829788.75,53.92
2023-2024,5350,650004.0,55.82
2023-2024,5351,850911.25,58.85
2023-2024,5352,571173.75,54.98
2023-2024,5353,717998.0,61.78
2023-2024,5354,184367.0,52.76
2023-2024,5355,499909.25,52.24
2023-2024,5357,920807.25,53.54
2023-2024,5358,708905.5,55.49
2023-2024,5359,465204.5,53.25
2023-2024,5360,688414.0,58.55
2023-2024,5361,489355.25,57.91
2023-2024,5362,553561.75,54.07
2023-2024,5363,730282.25,63.63
2023-2024,5364,661599.75,56.96
2023-2024,5365,689663.25,61.06
2023-2024,5380,693552.0,57.7
2023-2024,5388,421160.5,136.87
2023-2024,5390,857718.75,56.88
2023-2024,5400,770970.5,56.06
2023-2024,5420,354906.75,64.54
2023-2024,5460,974.0,44.74
2023-2024,6047,23265.25,96.68
2023-2024,6100,1962203.5,64.51
2023-2024,6120,90802.0,50.32
2023-2024,6125,4452.0,76.16
2023-2024,6255,1703.0,50.58
2023-2024,6360,126212.5,56.09
2023-2024,6870,168941.75,57.07
2023-2024,6980,89682.25,48.64
2023-2024,7100,4682143.5,204.04
2023-2024,7120,37155.75,46.2
2023-2024,7300,29923.75,63.19
2023-2024,7320,34932.25,68.76
2023-2024,7350,2017262.25,53.98
2023-2024,7501,217495.75,61.97
2023-2024,7503,42335.75,63.32
2023-2024,7504,17221.75,66.15
2023-2024,7600,2708049.25,51.22
2023-2024,7730,3467214.75,130.16
2023-2024,7760,2118278.0,49.76
2023-2024,7870,121171.5,45.88
2023-2024,7910,18730.5,61.73
2023-2024,8120,89992.75,54.54
2023-2024,8140,47790.0,74.76
2023-2024,8260,18225.25,402.53
2023-2024,8570,1154953.0,45.91
2023-2024,8620,52372.0,62.05
2023-2024,8660,983165.0,61.86
2023-2024,8780,1860.0,50.12
2023-2024,8820,4468.5,46.12
2023-2024,8825,294.0,63.91
2023-2024,8830,4612.0,71.74
2023-2024,8860,328150.5,61.27
2023-2024,8880,284102.5,90.61
2023-2024,8885,9741.75,68.29
2023-2024,8940,227507.5,44.43
2023-2024,8955,866313.75,88.83
2023-2024,8960,486450.75,97.72
2023-2024,8965,106659.0,372.68
2023-2024,8966,168086.5,46.26
2022-2023,0160,448875.0,83.81
2022-2023,0250,808512.75,64.57
2022-2023,0257,7567.0,66.04
2022-2023,0280,10342.75,78.28
2022-2023,0462,34789.0,55.6
2022-2023,0500,70198.75,65.37
2022-2023,0502,980635.5,57.5
2022-2023,0509,84962.0,51.36
2022-2023,0511,27493.0,68.03
2022-2023,0515,35565.75,57.23
2022-2023,0521,45053.25,54.44
2022-2023,0530,56691.25,62.05
2022-2023,0531,300851.25,70.69
2022-2023,0540,42991.75,91.26
2022-2023,0552,103365.5,66.79
2022-2023,0555,64532.75,61.76
2022-2023,0559,20026.25,68.1
2022-2023,0650,83216.0,51.33
2022-2023,0690,993524.25,51.34
2022-2023,0750,5947.5,47.6
2022-2023,0820,3827417.5,66.92
2022-2023,0840,1060831.25,47.64
2022-2023,0845,965652.25,53.54
2022-2023,0855,34594.5,56.96
2022-2023,0860,101352.5,52.77
2022-2023,0870,73909.25,65.67
2022-2023,0890,342533.75,41.88
2022-2023,0911,2519.5,157.56
2022-2023,0950,185463.5,52.51
2022-2023,0954,7741.25,54.56
2022-2023,0956,13483.75,44.78
2022-2023,0957,261.0,69.44
2022-2023,0959,5876.25,36.79
2022-2023,0968,34029.5,41.48
2022-2023,0981,1197.5,46.63
2022-2023,1045,3457.5,70.75
2022-2023,1110,1802531.25,131.03
2022-2023,1111,10229.5,63.04
2022-2023,1115,274489.0,51.94
2022-2023,1700,163452.75,71.62
2022-2023,1701,564457.25,53.89
2022-2023,1703,7476.0,65.9
2022-2023,1750,35657.25,46.35
2022-2023,2100,434893.25,52.35
2022-2023,2120,2705.0,227.75
2022-2023,2240,530377.25,45.39
2022-2023,2320,257373.5,47.32
2022-2023,2600,30353.25,72.64
2022-2023,2660,17223114.75,76.08
2022-2023,2665,257140.25,67.29
2022-2023,2670,4451.75,42.01
2022-2023,2720,10838408.0,65.21
2022-2023,2740,4131698.5,168.48
2022-2023,3100,76552.25,36.89
2022-2023,3125,21675.5,62.35
2022-2023,3340,231055.75,36.87
2022-2023,3360,465088.25,56.27
2022-2023,3460,7320.0,355.0
2022-2023,3480,421817.25,69.4
2022-2023,3540,2553242.0,49.38
2022-2023,3560,121219.75,58.74
2022-2023,3600,2383572.0,103.97
2022-2023,3640,23978.5,51.0
2022-2023,3720,89056.25,104.72
2022-2023,3760,29893.25,46.93
2022-2023,3780,4516.5,38.66
2022-2023,3790,2852572.75,293.55
2022-2023,3810,7508.5,54.61
2022-2023,3820,25354.75,52.81
2022-2023,3825,2491.5,45.46
2022-2023,3830,1996.5,43.95
2022-2023,3835,2342.0,46.71
2022-2023,3840,1751.5,68.62
2022-2023,3845,2027.0,53.34
2022-2023,3850,1227.5,49.85
2022-2023,3855,15975.75,484.16
2022-2023,3875,4474.0,50.31
2022-2023,3885,38730.0,60.53
2022-2023,3900,1273468.5,120.48
2022-2023,3930,276761.5,55.49
2022-2023,3940,1423864.0,66.29
2022-2023,3960,713298.25,57.64
2022-2023,3970,521841.25,60.8
2022-2023,3980,75805.5,59.69
2022-2023,4100,38768.0,45.76
2022-2023,4120,38286.25,46.71
2022-2023,4140,361124.75,58.91
2022-2023,4150,319863.0,53.9
2022-2023,4170,116103.25,53.9
2022-2023,4180,2298.25,41.68
2022-2023,4185,175.0,223.51
2022-2023,4250,27803.0,50.21
2022-2023,4265,2598741.5,50.62
2022-2023,4300,1244236.5,64.98
2022-2023,4440,4361506.75,174.5
2022-2023,4540,606872.0,106.04
2022-2023,4560,22880.75,54.4
2022-2023,4700,72543.5,55.95
2022-2023,5160,1131890.5,122.93
2022-2023,5170,911.0,44.72
2022-2023,5175,458704.25,51.37
2022-2023,5180,2795775.5,53.38
2022-2023,5225,3223814.75,57.68
2022-2023,5227,68900.5,56.75
2022-2023,5250,3945805.0,60.78
2022-2023,5254,104605.25,31.97
2022-2023,5260,2266253.0,59.65
2022-2023,5290,141494.25,57.69
2022-2023,5291,550172.25,68.79
2022-2023,5292,908550.0,52.24
2022-2023,5295,603049.5,54.74
2022-2023,5300,643304.0,55.96
2022-2023,5310,1117471.5,64.41
2022-2023,5320,714211.5,68.79
2022-2023,5330,1031891.25,61.43
2022-2023,5335,722310.75,53.37
2022-2023,5340,888862.5,53.34
2022-2023,5341,704664.75,51.14
2022-2023,5342,634011.0,50.15
2022-2023,5344,809441.5,53.41
2022-2023,5349,850123.25,51.23
2022-2023,5350,733878.25,57.27
2022-2023,5351,907863.0,55.01
2022-2023,5352,602032.0,55.08
2022-2023,5353,709088.75,54.81
